osmid,highway,lanes,name,oneway,reversed,length,speed_kph,travel_time,maxspeed,ref,geometry,width,bridge,junction,access,tunnel,edge_id,qualitativeLikelihood_high,probabilityOfOccurrence_high,returnPeriod_high,magnitudeOrIntensity_high,flooded_high,qualitativeLikelihood_medium,probabilityOfOccurrence_medium,returnPeriod_medium,magnitudeOrIntensity_medium,flooded_medium
33430012,residential,,Auf Mohrbüsch,False,False,312.2937078424093,33.612927756653995,33.44717117092295,,,"LINESTRING (6.7160132 49.7852322, 6.716192 49.7848897, 6.7162482 49.7846598, 6.7163268 49.7845535, 6.7163922 49.7844017, 6.7163377 49.784335, 6.7162877 49.7843201, 6.7160089 49.7842374, 6.7159708 49.7842261, 6.7157167 49.7841507, 6.7156023 49.7841167, 6.7154163 49.7841104, 6.7152811 49.7841213, 6.715086 49.784102, 6.7148104 49.7839708, 6.7145494 49.7838461, 6.7142846 49.7837196, 6.7138341 49.7835043)",,,,,,33430012,,,,,False,,,,,False
"[33430004, 972284244]",residential,,Marienholzstraße,False,False,85.50264437905135,33.612927756653995,9.1574742311357,,,"LINESTRING (6.7163193 49.785331, 6.7166877 49.7853478, 6.7170536 49.785424, 6.7171207 49.7854578, 6.7172381 49.7855168, 6.7173127 49.7855708, 6.7173441 49.7856261)",,,,,,"[33430004, 972284244]",,,,,False,,,,,False
33430011,residential,,Blütenweg,False,False,216.32913196238724,33.612927756653995,23.16920682133755,,,"LINESTRING (6.7163193 49.785331, 6.7160232 49.7856748, 6.7158886 49.7858077, 6.7153226 49.7862473, 6.7150899 49.7864281, 6.7149828 49.7865188, 6.7147832 49.7866879, 6.7146165 49.7869245)",,,,,,33430011,,,,,False,,,,,False
34303506,residential,,Marienholzstraße,False,False,139.08646179124676,33.612927756653995,14.896389450912018,,,"LINESTRING (6.7173441 49.7856261, 6.7166436 49.7862506, 6.716642 49.7863119, 6.7166905 49.7863797, 6.7170364 49.7865363, 6.7171461 49.7865414)",,,,,,34303506,,,,,False,,,,,False
972284244,residential,,Marienholzstraße,False,False,107.35266144764292,33.612927756653995,11.497647096064377,,,"LINESTRING (6.7173441 49.7856261, 6.7174509 49.7858056, 6.7174639 49.7859348, 6.7174269 49.7860504, 6.7171698 49.7864459, 6.7171461 49.7865414)",,,,,,972284244,,,,,False,,,,,False
44504029,residential,,Marienholzstraße,False,False,230.71591873140287,33.612927756653995,24.710055412195675,,,"LINESTRING (6.7172726 49.7873188, 6.7174927 49.7875293, 6.7176973 49.7876457, 6.7182433 49.7878637, 6.7185274 49.7879798, 6.7186539 49.7880527, 6.7188033 49.7881387, 6.7191137 49.7883999, 6.7192438 49.7885478, 6.7194543 49.7887872)",,,,,,44504029,,,,,False,,,,,False
"[972284243, 33430015]",residential,,Auf Dorheck,False,False,214.16251409262892,33.612927756653995,22.937158474118352,,,"LINESTRING (6.7172726 49.7873188, 6.7174758 49.7872527, 6.7178499 49.7871106, 6.7183247 49.7869288, 6.7185532 49.7868473, 6.7187627 49.7868092, 6.7189841 49.7868281, 6.7194592 49.7869028, 6.7199137 49.7871339)",,,,,,"[972284243, 33430015]",,,,,False,,,,,False
33430008,residential,,Humboldtstraße,False,False,68.65558965577716,33.612927756653995,7.353126884696026,,,"LINESTRING (6.7122225 49.7844725, 6.7120145 49.7845823, 6.7115244 49.7848937)",,,,,,33430008,,,,,False,,,,,False
33430013,residential,,Auf Mohrbüsch,False,False,61.41536204840596,33.612927756653995,6.577686566755363,,,"LINESTRING (6.7138341 49.7835043, 6.7136531 49.7837908, 6.7134953 49.7840113)",,,,,,33430013,,,,,False,,,,,False
"[813921175, 33430271]",living_street,,Im Vogelsberg,False,False,62.78800218416553,19.625,11.51779912677686,,,"LINESTRING (6.7200564 49.7765638, 6.7203975 49.7761199, 6.7204645 49.776066)",,,,,,"[813921175, 33430271]",,,,,False,,,,,False
