length,speed_kph,elevation_avg,dist_to_river_avg,rain_3d,rain_7d,bridge,flooded_high,flooded_medium,not_flooded,highway_disused,highway_living_street,highway_living_street_residential,highway_motorway,highway_motorway_link,highway_motorway_primary,highway_primary,highway_primary_link,highway_residential,highway_residential_living_street,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_unclassified,highway_unclassified_primary_link,highway_unclassified_residential
103.09492644102616,48.05084745762712,256.0,0.02635609556528,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46.4707219838399,50.0,255.5,0.0257670537406296,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.081729301539102,50.0,272.5,0.0338920913240987,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
182.282748979926,50.0,268.0,0.0330633389892183,78.69999694824219,78.69999694824219,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23.819824893095458,47.53488372093023,272.5,0.0339115143204059,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103.23704277905644,30.0,163.5,0.0331993096872631,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
164.60428722768663,50.0,169.5,0.0338508025365873,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85.10788546495967,50.0,168.0,0.0330118076908277,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84.38118374397095,50.0,168.0,0.0330118076908277,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.783598065897,50.0,135.0,0.0091026422660615,86.80000305175781,86.80000305175781,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59.34040383952934,50.0,135.5,0.0087069593471797,86.80000305175781,86.80000305175781,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13.871263495070458,48.05084745762712,133.0,0.0059077026757118,86.80000305175781,86.80000305175781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25.074806963592604,50.0,133.0,0.0060787162521325,86.80000305175781,86.80000305175781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139.51821602535475,50.0,131.5,0.0037667228553435,86.80000305175781,86.80000305175781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42.34903192699538,50.0,131.0,0.0024153404167846,86.80000305175781,86.80000305175781,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.446080296033006,50.0,130.0,0.001688088073371,74.4000015258789,74.4000015258789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
373.5697968708397,50.0,130.5,0.0016781722676434,74.4000015258789,74.4000015258789,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261.2055943020312,50.0,130.5,0.0016543502557552,74.4000015258789,74.4000015258789,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38.9948844995364,50.0,257.0,0.0265804355099632,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
314.1244571058076,50.0,259.5,0.0264467357096651,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.599418002411031,50.0,255.0,0.0259801419501991,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31.60709401474844,50.0,254.0,0.0258898911549633,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52.93241042796703,50.0,254.5,0.0257009871794467,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.762307368194929,50.0,253.0,0.025881899886958,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81.70149355395523,50.0,252.0,0.0254727269483396,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
241.3228157809505,50.0,127.5,0.0009502390074968,94.10000610351562,94.10000610351562,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247.8354489589342,50.0,129.0,0.0015741622469569,94.10000610351562,94.10000610351562,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.493719611376832,50.0,136.5,0.0042936135088889,94.10000610351562,94.10000610351562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25.801152616073125,50.0,136.0,0.0041460183803471,94.10000610351562,94.10000610351562,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27.351961018468558,30.0,136.0,0.0044205563411193,94.10000610351562,94.10000610351562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226.3497753663758,50.0,133.5,0.0015654902499348,94.10000610351562,94.10000610351562,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63.1784058664306,50.0,135.0,0.0018942490605094,94.10000610351562,94.10000610351562,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47.38839203746046,50.0,130.0,0.0022012701560408,86.80000305175781,86.80000305175781,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52.23780143979551,50.0,128.5,0.0020839099798147,86.80000305175781,86.80000305175781,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15.888664289221468,50.0,129.0,0.0025468847853316,86.80000305175781,86.80000305175781,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
380.1905982314195,50.0,129.5,0.0027739373985334,86.80000305175781,86.80000305175781,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
